,Rand,Trace,KFCV,SPCV,Test
0,0.04912362283593143,0.06749478955352817,0.012727350256499893,0.07295292079675962,0.05491573067047491
1,0.042569771149754056,0.06391081012536706,0.011203529805305057,0.036878951805593196,0.04967687303897433
2,0.03589896375542515,0.05693875597853879,0.01083768668510856,0.03133379927164638,0.05813041207910146
3,0.051648475300414685,0.0652134436971574,0.012388047946897933,0.028818355738295044,0.041660930318984886
4,0.03298568600410461,0.05402052477436213,0.013561788321621863,0.031032783408543308,0.059317025248694144
5,0.06725724708221137,0.07940962122731648,0.014778068209548542,0.050927532577107984,0.04837154494296675
6,0.04126427386893349,0.061750458597057765,0.01252945857768259,0.04588943953258445,0.039187054710698846
7,0.03437981099909245,0.04881597903702024,0.01412603470055295,0.0681755988715819,0.06840525073413806
8,0.07534833442952396,0.08312679746274568,0.013308637957909935,0.04087511964640835,0.05979709416689881
9,0.0468228647852769,0.06218276949260613,0.014652190577613364,0.08556285971548996,0.04519774102322585
10,0.03783867070550388,0.05416836089094464,0.011197416810662164,0.02739780720577297,0.06014394182269388
11,0.03663147197303736,0.056054371269824696,0.01143626749702359,0.046574290819508465,0.04688907993496597
12,0.054290779573357185,0.0715870146271274,0.012818628344353026,0.03873225466734294,0.06993075595944377
13,0.034233922868294374,0.046977154654767705,0.00989359391117202,0.047719706557771926,0.05293498343982511
14,0.042567615472092375,0.063673153710749,0.012135126057039647,0.05239830919884638,0.06929962770295542
15,0.040400307691723814,0.05898095347643838,0.010614736129823735,0.03518774861003247,0.06377513631677308
16,0.04950558495378507,0.06749815384450196,0.013670199524019289,0.04981350383545194,0.04067078687970859
17,0.058788234074074866,0.07409767484556723,0.011237692601006244,0.03758928826217399,0.04408116669879487
18,0.03566301857774872,0.05141825502976931,0.013081078029269649,0.03322986028751042,0.05381455684773607
19,0.026791040378228177,0.048077799673672345,0.01200602152935037,0.050897002862841975,0.07030554087477227
20,0.04885499541895693,0.06478753992392625,0.011422210863198006,0.03237163525003585,0.05465898348591987
21,0.045924004439621996,0.06777067077338193,0.012124292464163123,0.05462057051663329,0.07206176056371223
22,0.027393232322897063,0.04700059797411859,0.011046199650684022,0.024193053116288096,0.054650622680173545
23,0.05007185480681795,0.06698247292103823,0.012500110974094588,0.044194837966355115,0.0646921633873726
24,0.053705017676005634,0.06962339351156784,0.013943865989093734,0.06790302369552619,0.040019646513176445
25,0.05113440833894248,0.06592473193168771,0.012869343914306936,0.027369856981927565,0.04171916173382332
26,0.052884980780468854,0.06740689409780717,0.013368234414973706,0.03302514087962294,0.038955898266548224
27,0.05077109257206123,0.059572338883861445,0.010112518191088328,0.029755867752447356,0.04941617828190403
28,0.04505052044144914,0.06202534464149633,0.013464374753079964,0.04148644463485411,0.041476668355305446
29,0.045214659797682404,0.0681290670080599,0.013852684119612218,0.0418398627736637,0.0460414556255525
30,0.07008856043945516,0.08241038076498583,0.014939511361238075,0.043431294970429066,0.06931091089012205
31,0.04637763088792923,0.061956148425735165,0.01464960083600592,0.05366094609016788,0.053655918064014825
